,w1_size,psnr
0,0.01,8.158299848855558
1,0.02,8.894785537272885
2,0.03,10.344006842476583
3,0.04,11.708933877523295
4,0.05,11.708933877523295
5,0.06,11.708933877523295
6,0.07,11.708933877523295
7,0.08,11.708933877523295
8,0.09,11.708933877523295
9,0.1,11.708933877523295
10,0.11,11.708933877523295
11,0.12,12.338074995581545
12,0.13,13.35496545877579
13,0.14,14.997691369331584
14,0.15,16.634256295938105
15,0.16,16.634256295938105
16,0.17,16.634256295938105
17,0.18,16.634256295938105
18,0.19,16.634256295938105
19,0.2,16.634256295938105
20,0.21,16.634256295938105
21,0.22,16.634256295938105
22,0.23,17.468583020450886
23,0.24,18.98363873811917
24,0.25,20.40488527839663
25,0.26,21.22616712370432
26,0.27,21.22616712370432
27,0.28,21.243513707435998
28,0.29,21.256015367755495
29,0.3,21.256015367755495
30,0.31,21.256015367755495
31,0.32,21.256015367755495
32,0.33,21.256015367755495
33,0.34,22.332925266025185
34,0.35,23.3650114162647
35,0.36,23.890291641499182
36,0.37,24.010305449715833
37,0.38,24.06264315659407
38,0.39,24.197473691345536
39,0.4,24.274760871339225
40,0.41,24.359108481521602
41,0.42,24.392197767658445
42,0.43,24.39752444124826
43,0.44,24.414148805027022
44,0.45,25.119055273379544
45,0.46,25.976638467645444
46,0.47,26.214070626639653
47,0.48,26.354126802298122
48,0.49,26.49248945325581
49,0.5,26.694821420121556
50,0.51,26.851830637067692
51,0.52,27.052503990875948
52,0.53,27.206293221554784
53,0.54,27.262654924754038
54,0.55,27.35259019445083
55,0.56,27.48505599373359
56,0.57,27.761191843356738
57,0.58,28.17006412155139
58,0.59,28.496153261735564
59,0.6,28.754182946688612
60,0.61,28.88939391999238
61,0.62,29.03550627465936
62,0.63,29.226296233714066
63,0.64,29.387657997866814
64,0.65,29.544508567183087
65,0.66,29.70801438336231
66,0.67,29.817986851823424
67,0.68,29.936329598619036
68,0.69,30.078833705252475
69,0.7,30.15560665881919
70,0.71,30.29666744099467
71,0.72,30.484407058269674
72,0.73,30.632238910886308
73,0.74,30.805286908352443
74,0.75,31.03282284966634
75,0.76,31.268880964565966
76,0.77,31.38137287076123
77,0.78,31.507361813072038
78,0.79,31.6723138685435
79,0.8,31.817959638244883
80,0.81,31.950313060641676
81,0.82,32.05626537570731
82,0.83,32.16525824295502
83,0.84,32.257616790745914
84,0.85,32.35138557002831
85,0.86,32.46190395473807
86,0.87,32.56102328633674
87,0.88,32.63929624369113
88,0.89,32.73758718252011
89,0.9,32.81073698974717
90,0.91,32.90294003115674
91,0.92,32.960569284448326
92,0.93,33.056093437832175
93,0.94,33.15341912463516
94,0.95,33.249019091729224
95,0.96,33.344803876080526
96,0.97,33.42233933827701
97,0.98,33.51142446115926
98,0.99,33.622783992906704
99,1.0,33.70953095994874